index,full_path,relative_path,file_name
192,https://www.classcentral.com/subject/malware-analysis,/subject/malware-analysis,192.html
193,https://www.classcentral.com/subject/devsecops,/subject/devsecops,193.html
194,https://www.classcentral.com/subject/osint,/subject/osint,194.html
195,https://www.classcentral.com/subject/threat-intelligence,/subject/threat-intelligence,195.html
196,https://www.classcentral.com/subject/infosec-certifications,/subject/infosec-certifications,196.html
197,https://www.classcentral.com/subject/red-team,/subject/red-team,197.html
198,https://www.classcentral.com/subject/blue-team,/subject/blue-team,198.html
2,https://www.classcentral.com/collections,/collections,2.html
20,https://www.classcentral.com/report/,/report/,20.html
201,https://www.classcentral.com/report/2022-year-in-review/,/report/2022-year-in-review/,201.html
203,https://www.classcentral.com/report/author/dhawal/,/report/author/dhawal/,203.html
204,https://www.classcentral.com/report/review-china-economic-transformation/,/report/review-china-economic-transformation/,204.html
205,https://www.classcentral.com/report/most-cited-mooc-research/,/report/most-cited-mooc-research/,205.html
206,https://www.classcentral.com/report/best-digital-art-courses/,/report/best-digital-art-courses/,206.html
207,https://www.classcentral.com/report/emoocs-2023-cfp/,/report/emoocs-2023-cfp/,207.html
208,https://www.classcentral.com/report/best-elm-courses/,/report/best-elm-courses/,208.html
210,https://www.classcentral.com/lists,/lists,210.html
211,https://www.classcentral.com/signup,/signup,211.html
212,https://www.classcentral.com/login,/login,212.html
217,https://www.classcentral.com/subject/digital-skills,/subject/digital-skills,217.html
22,https://www.classcentral.com/collection/top-free-online-courses,/collection/top-free-online-courses,22.html
220,https://www.classcentral.com/course/success-8087,/course/success-8087,220.html
221,https://www.classcentral.com/course/edx-monitoring-volcanoes-and-magma-movements-13227,/course/edx-monitoring-volcanoes-and-magma-movements-13227,221.html
222,https://www.classcentral.com/course/build-a-computer-3234,/course/build-a-computer-3234,222.html
225,https://www.classcentral.com/help/moocs,/help/moocs,225.html
228,https://www.classcentral.com/university/stanford ,/university/stanford ,228.html
23,https://www.classcentral.com/report/most-popular-online-courses/,/report/most-popular-online-courses/,23.html
231,https://www.classcentral.com/collection/sustainability-online-courses ,/collection/sustainability-online-courses ,231.html
232,https://www.classcentral.com/university/mit ,/university/mit ,232.html
233,https://www.classcentral.com/institution/google ,/institution/google ,233.html
234,https://www.classcentral.com/institution/amazon ,/institution/amazon ,234.html
236,https://www.classcentral.com/report/category/best-courses/ ,/report/category/best-courses/ ,236.html
237,https://www.classcentral.com/report/online-learning-deals/ ,/report/online-learning-deals/ ,237.html
238,https://www.classcentral.com/university/harvard,/university/harvard,238.html
240,https://www.classcentral.com/university/iit-kharagpur,/university/iit-kharagpur,240.html
242,https://www.classcentral.com/university/rice,/university/rice,242.html
243,https://www.classcentral.com/university/iitm,/university/iitm,243.html
244,https://www.classcentral.com/university/columbia,/university/columbia,244.html
245,https://www.classcentral.com/university/cornell,/university/cornell,245.html
246,https://www.classcentral.com/university/edinburgh,/university/edinburgh,246.html
247,https://www.classcentral.com/university/purdue,/university/purdue,247.html
248,https://www.classcentral.com/university/penn,/university/penn,248.html
249,https://www.classcentral.com/university/duke,/university/duke,249.html
25,https://www.classcentral.com/report/best-free-online-courses-2022/,/report/best-free-online-courses-2022/,25.html
250,https://www.classcentral.com/university/umich,/university/umich,250.html
252,https://www.classcentral.com/provider/coursera,/provider/coursera,252.html
253,https://www.classcentral.com/provider/edx,/provider/edx,253.html
254,https://www.classcentral.com/provider/futurelearn,/provider/futurelearn,254.html
255,https://www.classcentral.com/provider/udemy,/provider/udemy,255.html
256,https://www.classcentral.com/provider/swayam,/provider/swayam,256.html
257,https://www.classcentral.com/provider/linkedin-learning,/provider/linkedin-learning,257.html
258,https://www.classcentral.com/provider/skillshare,/provider/skillshare,258.html
259,https://www.classcentral.com/providers,/providers,259.html
26,https://www.classcentral.com/report/best-free-online-courses-2021/,/report/best-free-online-courses-2021/,26.html
262,https://www.classcentral.com/institution/microsoft,/institution/microsoft,262.html
263,https://www.classcentral.com/institution/ibm,/institution/ibm,263.html
264,https://www.classcentral.com/institution/smithsonian,/institution/smithsonian,264.html
265,https://www.classcentral.com/institution/united-nations,/institution/united-nations,265.html
266,https://www.classcentral.com/institution/british-council,/institution/british-council,266.html
267,https://www.classcentral.com/institutions,/institutions,267.html
272,https://www.classcentral.com/report/feed/,/report/feed/,272.html
